date,variable,value
1986-06-28 00:00:00,type2,8
2004-08-28 00:00:00,type2,10
1979-09-29 00:00:00,type2,8
1993-11-27 00:00:00,type2,12
1984-05-19 00:00:00,type1,8
1997-02-22 00:00:00,type2,11
1983-09-03 00:00:00,type2,5
1980-04-05 00:00:00,type2,10
1999-08-14 00:00:00,type3,7
1987-05-02 00:00:00,type1,11
1991-08-03 00:00:00,type1,9
2016-04-09 00:00:00,type1,9
1999-06-12 00:00:00,type2,9
1999-04-03 00:00:00,type1,10
1981-02-21 00:00:00,type2,7
2008-02-23 00:00:00,type3,10
1998-08-08 00:00:00,type2,12
1983-10-15 00:00:00,type3,7
1992-03-28 00:00:00,type3,11
1978-03-25 00:00:00,type3,9
2001-05-12 00:00:00,type3,8
1989-10-07 00:00:00,type1,8
1993-11-13 00:00:00,type1,9
2009-12-26 00:00:00,type2,8
1999-11-13 00:00:00,type1,10
2016-12-10 00:00:00,type3,7
2016-06-04 00:00:00,type3,8
2003-07-26 00:00:00,type2,10
1993-03-13 00:00:00,type3,12
2016-04-23 00:00:00,type1,12
2006-10-14 00:00:00,type1,10
1988-03-12 00:00:00,type3,7
1993-04-10 00:00:00,type2,9
1990-03-17 00:00:00,type2,10
1991-07-20 00:00:00,type1,10
1997-11-22 00:00:00,type2,5
1979-06-30 00:00:00,type1,9
2017-06-10 00:00:00,type1,7
2006-08-05 00:00:00,type3,9
2011-07-02 00:00:00,type2,9
2009-08-08 00:00:00,type3,10
1981-05-23 00:00:00,type3,10
2014-01-04 00:00:00,type2,9
1982-03-20 00:00:00,type3,11
2017-12-09 00:00:00,type2,11
1999-09-04 00:00:00,type1,7
2001-03-31 00:00:00,type1,7
1993-06-19 00:00:00,type1,8
2013-12-07 00:00:00,type1,8
1986-05-31 00:00:00,type2,11
2018-09-15 00:00:00,type1,9
2003-02-01 00:00:00,type2,9
1981-10-03 00:00:00,type1,9
1978-11-04 00:00:00,type2,11
2014-07-19 00:00:00,type1,13
2007-09-22 00:00:00,type3,7
2002-11-02 00:00:00,type2,8
2017-06-03 00:00:00,type3,9
1984-11-24 00:00:00,type3,14
1978-03-18 00:00:00,type2,6
-,type3,9
2015-05-02 00:00:00,type3,11
2012-04-28 00:00:00,type3,12
2018-08-04 00:00:00,type1,12
2015-04-18 00:00:00,type2,9
2004-12-25 00:00:00,type1,12
2011-10-29 00:00:00,type2,10
2019-07-13 00:00:00,type3,10
2008-11-01 00:00:00,type1,8
1996-08-10 00:00:00,type2,6
1997-11-08 00:00:00,type1,8
2006-05-20 00:00:00,type2,8
2000-03-04 00:00:00,type1,9
1997-11-01 00:00:00,type3,12
2008-12-27 00:00:00,type3,14
2019-10-26 00:00:00,type3,7
1998-02-14 00:00:00,type1,11
2012-01-28 00:00:00,type1,12
2001-04-21 00:00:00,type2,8
1991-02-23 00:00:00,type2,12
1982-08-28 00:00:00,type3,10
1987-01-24 00:00:00,type3,10
1984-01-21 00:00:00,type2,9
2015-09-12 00:00:00,type2,10
2000-06-24 00:00:00,type1,10
2013-01-19 00:00:00,type3,9
2001-01-27 00:00:00,type2,8
1989-02-25 00:00:00,type2,11
2011-01-15 00:00:00,type3,7
1999-07-24 00:00:00,type1,8
2003-03-08 00:00:00,type1,10
2004-02-21 00:00:00,type3,7
2015-01-10 00:00:00,type3,9
2005-07-02 00:00:00,type2,8
1986-02-01 00:00:00,type1,11
1986-05-10 00:00:00,type3,7
1992-03-21 00:00:00,type2,11
1982-02-27 00:00:00,type2,8
2000-08-19 00:00:00,type3,7
2002-12-14 00:00:00,type1,13
1996-10-12 00:00:00,type3,11
1980-12-06 00:00:00,type1,12
1988-07-16 00:00:00,type1,11
2019-08-17 00:00:00,type1,12
1979-08-25 00:00:00,type3,12
1981-04-18 00:00:00,type3,9
2011-10-29 00:00:00,type1,9
1997-07-12 00:00:00,type3,11
2004-10-09 00:00:00,type1,11
2009-09-19 00:00:00,type1,7
2006-02-25 00:00:00,type3,8
2001-06-09 00:00:00,type3,13
1996-11-23 00:00:00,type1,10
2018-12-29 00:00:00,type2,9
2018-02-10 00:00:00,type2,7
2012-06-09 00:00:00,type3,10
1996-10-19 00:00:00,type1,15
1989-01-28 00:00:00,type2,10
2006-02-25 00:00:00,type2,11
1980-10-18 00:00:00,type2,8
2016-04-30 00:00:00,type1,9
2007-08-25 00:00:00,type3,10
2007-02-10 00:00:00,type1,9
1988-09-17 00:00:00,type3,10
2000-12-30 00:00:00,type2,10
2008-06-07 00:00:00,type3,9
2013-11-23 00:00:00,type3,10
2013-07-20 00:00:00,type3,10
1991-09-28 00:00:00,type1,10
1982-07-03 00:00:00,type3,10
1991-06-08 00:00:00,type3,10
2005-09-17 00:00:00,type3,13
2012-09-29 00:00:00,type2,6
2009-11-28 00:00:00,type2,9
2006-02-04 00:00:00,type2,11
2012-12-01 00:00:00,type3,9
2008-05-10 00:00:00,type2,11
1999-06-26 00:00:00,type2,11
2019-11-02 00:00:00,type3,10
1995-11-11 00:00:00,type1,11
2013-01-26 00:00:00,type1,8
2011-08-20 00:00:00,type2,6
2005-11-19 00:00:00,type2,9
2002-11-23 00:00:00,type2,9
1982-04-24 00:00:00,type1,9
1992-10-24 00:00:00,type1,11
1982-05-22 00:00:00,type2,8
1996-09-28 00:00:00,type2,10
2013-02-23 00:00:00,type3,6
1989-07-22 00:00:00,type2,8
2013-12-21 00:00:00,type2,10
2005-04-02 00:00:00,type1,11
1993-06-26 00:00:00,type3,10
2009-03-07 00:00:00,type3,7
1985-05-04 00:00:00,type2,6
1988-07-23 00:00:00,type2,9
1989-01-14 00:00:00,type3,9
1989-02-18 00:00:00,type3,9
2014-03-01 00:00:00,type1,8
1989-04-01 00:00:00,type2,8
2008-07-26 00:00:00,type3,15
1985-11-23 00:00:00,type1,9
2006-04-01 00:00:00,type3,11
1989-05-20 00:00:00,type3,10
1998-07-18 00:00:00,type1,9
2006-07-08 00:00:00,type1,13
2002-06-08 00:00:00,type2,5
2017-09-02 00:00:00,type3,12
2012-09-08 00:00:00,type2,10
2000-12-02 00:00:00,type2,7
2013-12-28 00:00:00,type2,10
2016-09-17 00:00:00,type3,7
2010-02-06 00:00:00,type3,NA
2016-09-24 00:00:00,type2,14
2015-04-18 00:00:00,type3,9
1978-06-10 00:00:00,type1,8
2002-11-30 00:00:00,type1,9
2013-07-27 00:00:00,type2,10
2011-05-14 00:00:00,type1,10
-,type2,9
2015-08-29 00:00:00,type1,11
1984-10-06 00:00:00,type2,11
1994-01-15 00:00:00,type2,14
1987-06-06 00:00:00,type3,8
2005-01-29 00:00:00,type1,5
1984-06-30 00:00:00,type1,10
2003-07-19 00:00:00,type2,12
1985-05-18 00:00:00,type1,7
1995-07-29 00:00:00,type1,11
1982-11-06 00:00:00,type1,9
1982-04-17 00:00:00,type3,7
1990-06-09 00:00:00,type3,14
1978-04-01 00:00:00,type3,7
2000-01-01 00:00:00,type1,6
1990-06-30 00:00:00,type2,9
1991-02-16 00:00:00,type2,9
2015-08-15 00:00:00,type2,9
2016-05-07 00:00:00,type2,9
1994-06-25 00:00:00,type2,11
1992-03-07 00:00:00,type1,8
2004-08-14 00:00:00,type1,10
2006-11-25 00:00:00,type3,10
2012-04-07 00:00:00,type3,11
2012-02-18 00:00:00,type2,10
1997-10-18 00:00:00,type3,7
1984-05-19 00:00:00,type2,8
1990-06-30 00:00:00,type3,13
2018-06-02 00:00:00,type3,9
2004-06-26 00:00:00,type1,6
2013-02-16 00:00:00,type1,15
1997-09-06 00:00:00,type2,10
1993-06-05 00:00:00,type3,10
2000-11-25 00:00:00,type2,8
2007-11-10 00:00:00,type2,10
2015-01-10 00:00:00,type1,10
1983-07-16 00:00:00,type2,11
1990-05-12 00:00:00,type3,13
1999-01-16 00:00:00,type2,10
1996-03-23 00:00:00,type3,7
2019-05-11 00:00:00,type3,11
1985-01-05 00:00:00,type3,15
2004-06-12 00:00:00,type2,12
1981-04-25 00:00:00,type2,6
1991-07-27 00:00:00,type3,10
1994-11-26 00:00:00,type3,8
2011-04-30 00:00:00,type2,8
2004-04-24 00:00:00,type1,11
1992-12-05 00:00:00,type2,11
2018-01-06 00:00:00,type2,9
1990-04-21 00:00:00,type2,10
2014-01-18 00:00:00,type1,14
1991-12-14 00:00:00,type3,8
1995-04-22 00:00:00,type2,8
2009-08-29 00:00:00,type2,7
1995-02-11 00:00:00,type2,10
1993-02-06 00:00:00,type3,9
2005-06-04 00:00:00,type1,8
1979-02-24 00:00:00,type1,10
1986-06-21 00:00:00,type3,10
2013-07-13 00:00:00,type2,10
1997-12-27 00:00:00,type1,11
2010-05-08 00:00:00,type3,NA
2016-07-09 00:00:00,type1,8
2012-07-14 00:00:00,type1,10
1992-03-21 00:00:00,type1,8
1978-10-21 00:00:00,type2,10
1995-11-04 00:00:00,type1,7
2000-05-27 00:00:00,type2,9
2014-07-26 00:00:00,type1,7
1988-01-09 00:00:00,type1,10
2009-07-18 00:00:00,type1,8
1988-07-09 00:00:00,type2,10
2017-05-27 00:00:00,type3,7
2014-11-01 00:00:00,type1,8
1992-12-05 00:00:00,type1,8
2001-03-10 00:00:00,type1,9
1996-07-06 00:00:00,type3,6
2019-12-21 00:00:00,type1,9
1981-06-13 00:00:00,type1,8
1981-06-27 00:00:00,type2,8
1987-03-07 00:00:00,type3,13
1994-10-22 00:00:00,type1,10
1981-05-02 00:00:00,type3,6
2001-09-22 00:00:00,type1,7
2012-05-19 00:00:00,type2,5
2008-10-04 00:00:00,type3,14
2017-09-09 00:00:00,type2,11
1981-04-18 00:00:00,type1,8
1988-12-24 00:00:00,type3,12
2007-03-24 00:00:00,type2,10
1985-01-12 00:00:00,type3,14
2015-01-31 00:00:00,type3,12
1989-04-29 00:00:00,type2,9
2013-09-21 00:00:00,type2,8
2012-12-29 00:00:00,type1,7
1992-01-18 00:00:00,type2,5
2009-05-30 00:00:00,type1,11
2018-10-06 00:00:00,type3,8
2009-11-21 00:00:00,type3,8
2000-10-14 00:00:00,type1,9
1981-10-17 00:00:00,type1,7
2016-11-26 00:00:00,type3,10
2006-03-11 00:00:00,type3,9
1988-02-06 00:00:00,type1,8
2018-02-03 00:00:00,type3,8
1985-02-16 00:00:00,type1,12
2002-12-07 00:00:00,type1,6
2007-06-09 00:00:00,type2,11
1988-01-23 00:00:00,type3,11
2006-01-14 00:00:00,type3,10
2018-11-03 00:00:00,type1,9
1988-03-05 00:00:00,type1,12
1999-09-18 00:00:00,type2,9
1992-05-23 00:00:00,type3,12
2013-09-14 00:00:00,type1,8
1998-01-10 00:00:00,type2,8
1993-12-25 00:00:00,type3,9
2001-03-31 00:00:00,type2,8
1984-08-04 00:00:00,type2,7
2001-09-01 00:00:00,type3,10
2019-02-09 00:00:00,type1,9
2010-12-11 00:00:00,type2,7
1990-07-28 00:00:00,type1,11
2011-06-18 00:00:00,type3,9
2015-05-23 00:00:00,type1,14
1978-04-08 00:00:00,type1,6
1997-10-18 00:00:00,type1,11
1986-08-02 00:00:00,type2,12
1991-06-15 00:00:00,type3,10
1984-09-29 00:00:00,type2,8
1982-05-22 00:00:00,type1,12
1984-03-17 00:00:00,type2,7
2014-02-15 00:00:00,type3,7
2006-11-04 00:00:00,type1,9
1998-05-30 00:00:00,type1,9
1983-06-11 00:00:00,type1,12
2003-12-06 00:00:00,type3,9
2015-08-01 00:00:00,type1,10
1995-11-18 00:00:00,type3,9
2019-08-10 00:00:00,type2,12
1998-09-05 00:00:00,type3,6
2016-06-11 00:00:00,type1,10
1997-05-17 00:00:00,type3,9
2009-10-31 00:00:00,type3,9
2018-01-06 00:00:00,type3,13
2004-01-10 00:00:00,type2,11
2017-03-25 00:00:00,type3,10
2006-07-29 00:00:00,type3,14
1989-06-24 00:00:00,type3,10
2005-11-05 00:00:00,type3,9
1982-11-20 00:00:00,type1,10
2008-10-18 00:00:00,type3,6
1987-05-09 00:00:00,type1,11
2016-01-16 00:00:00,type3,11
1989-01-28 00:00:00,type1,9
2014-11-22 00:00:00,type1,8
2016-03-05 00:00:00,type2,13
2000-07-01 00:00:00,type1,10
2011-04-09 00:00:00,type3,10
1985-08-03 00:00:00,type1,11
2007-08-25 00:00:00,type2,9
1981-03-14 00:00:00,type1,8
1998-02-21 00:00:00,type1,9
1982-07-10 00:00:00,type1,10
1998-10-24 00:00:00,type2,9
2015-06-27 00:00:00,type2,9
1980-09-27 00:00:00,type3,7
2002-04-20 00:00:00,type2,9
1988-05-28 00:00:00,type3,12
1986-05-03 00:00:00,type3,9
1980-06-07 00:00:00,type1,8
1994-10-29 00:00:00,type2,8
1994-01-22 00:00:00,type3,12
2008-02-16 00:00:00,type3,11
1981-06-27 00:00:00,type3,10
2007-03-31 00:00:00,type3,9
2009-08-22 00:00:00,type2,13
2003-02-22 00:00:00,type3,10
1994-10-22 00:00:00,type3,12
1992-10-03 00:00:00,type1,7
2002-02-02 00:00:00,type1,11
2005-11-19 00:00:00,type1,7
1999-09-11 00:00:00,type3,6
1994-07-16 00:00:00,type3,9
2008-06-21 00:00:00,type3,8
2012-06-02 00:00:00,type3,10
2019-02-09 00:00:00,type3,10
1997-11-15 00:00:00,type3,11
2004-06-19 00:00:00,type3,10
1983-12-24 00:00:00,type2,8
2015-12-05 00:00:00,type2,7
2018-10-06 00:00:00,type2,6
1983-12-24 00:00:00,type1,11
2002-10-19 00:00:00,type2,9
2018-02-10 00:00:00,type1,7
2010-06-05 00:00:00,type3,NA
1982-05-22 00:00:00,type3,12
2004-07-10 00:00:00,type1,12
2002-08-17 00:00:00,type2,10
2001-04-07 00:00:00,type2,11
1986-02-15 00:00:00,type1,9
2010-07-03 00:00:00,type1,NA
1992-07-04 00:00:00,type2,9
1997-06-07 00:00:00,type2,8
2018-03-31 00:00:00,type3,10
1987-05-02 00:00:00,type2,13
2001-06-09 00:00:00,type1,10
1994-12-31 00:00:00,type1,10
2012-09-22 00:00:00,type1,11
1989-05-06 00:00:00,type1,8
2004-10-16 00:00:00,type2,11
2016-09-17 00:00:00,type2,9
1982-10-02 00:00:00,type1,7
1984-02-04 00:00:00,type2,10
1981-05-30 00:00:00,type2,11
2003-11-08 00:00:00,type3,5
2003-05-31 00:00:00,type1,11
1989-05-27 00:00:00,type3,13
1992-12-12 00:00:00,type1,12
1982-02-13 00:00:00,type1,13
2016-04-23 00:00:00,type2,11
1985-08-24 00:00:00,type1,11
1987-06-20 00:00:00,type2,11
1979-11-10 00:00:00,type2,10
1985-05-04 00:00:00,type3,10
2002-12-21 00:00:00,type2,9
2003-08-23 00:00:00,type3,14
2012-06-02 00:00:00,type2,10
2001-07-07 00:00:00,type2,10
1982-11-27 00:00:00,type3,14
1996-04-06 00:00:00,type1,9
2005-04-09 00:00:00,type1,13
1998-12-19 00:00:00,type1,8
2002-02-16 00:00:00,type3,9
2018-04-14 00:00:00,type3,7
1996-04-13 00:00:00,type3,8
2010-02-27 00:00:00,type2,NA
1994-01-15 00:00:00,type1,11
2003-02-22 00:00:00,type1,8
1991-11-09 00:00:00,type3,6
1995-01-21 00:00:00,type1,8
2003-12-27 00:00:00,type2,10
1981-07-18 00:00:00,type2,9
2013-05-25 00:00:00,type1,8
2005-07-23 00:00:00,type3,9
1997-11-08 00:00:00,type3,13
2007-02-03 00:00:00,type1,7
1994-10-29 00:00:00,type1,8
1984-10-06 00:00:00,type1,9
2003-04-12 00:00:00,type3,13
2012-01-21 00:00:00,type1,9
1979-10-20 00:00:00,type3,10
1981-06-20 00:00:00,type3,7
2001-12-01 00:00:00,type3,8
2014-06-28 00:00:00,type3,9
2008-03-01 00:00:00,type2,7
1991-02-02 00:00:00,type2,11
2015-08-01 00:00:00,type3,10
1984-11-03 00:00:00,type2,10
2009-10-24 00:00:00,type3,13
2017-07-01 00:00:00,type3,10
1984-08-11 00:00:00,type3,10
1983-01-15 00:00:00,type3,11
1994-11-19 00:00:00,type3,9
1983-10-01 00:00:00,type1,13
2012-03-24 00:00:00,type2,11
1985-10-26 00:00:00,type3,15
1983-11-05 00:00:00,type1,8
2009-09-12 00:00:00,type3,9
1994-03-19 00:00:00,type1,8
2010-06-19 00:00:00,type1,NA
1980-09-06 00:00:00,type3,6
2009-03-28 00:00:00,type2,10
2013-11-16 00:00:00,type1,10
1985-12-28 00:00:00,type2,6
2005-02-26 00:00:00,type2,8
2000-05-13 00:00:00,type3,6
2007-06-30 00:00:00,type2,13
2010-02-06 00:00:00,type2,NA
1987-03-14 00:00:00,type1,11
1992-04-18 00:00:00,type3,10
1985-10-26 00:00:00,type1,11
1997-07-12 00:00:00,type1,10
2010-07-24 00:00:00,type3,NA
1988-09-03 00:00:00,type3,10
1981-01-03 00:00:00,type3,12
1989-08-26 00:00:00,type1,6
1993-02-13 00:00:00,type1,11
2009-10-31 00:00:00,type1,11
1980-05-31 00:00:00,type1,6
2017-02-04 00:00:00,type3,10
-,type2,10
2008-02-02 00:00:00,type2,9
2009-09-26 00:00:00,type1,11
1989-10-07 00:00:00,type2,10
2019-05-25 00:00:00,type3,11
2002-03-09 00:00:00,type3,9
1980-12-27 00:00:00,type1,10
2007-08-18 00:00:00,type2,8
1986-03-08 00:00:00,type2,11
1990-05-12 00:00:00,type2,9
1994-08-13 00:00:00,type1,8
2004-05-08 00:00:00,type3,11
1993-10-09 00:00:00,type3,9
1980-07-05 00:00:00,type1,8
1978-09-16 00:00:00,type1,10
1993-10-30 00:00:00,type2,11
2004-06-05 00:00:00,type2,8
2017-05-20 00:00:00,type2,9
1997-04-12 00:00:00,type1,7
1998-02-07 00:00:00,type2,6
1983-01-29 00:00:00,type2,9
1978-09-23 00:00:00,type1,11
2012-09-15 00:00:00,type1,12
2010-12-04 00:00:00,type2,11
2009-07-18 00:00:00,type2,8
2005-05-14 00:00:00,type1,10
1999-07-10 00:00:00,type2,9
2005-04-23 00:00:00,type2,11
1982-11-27 00:00:00,type2,9
2015-02-21 00:00:00,type2,10
2018-12-08 00:00:00,type1,13
1992-02-01 00:00:00,type1,8
1991-04-27 00:00:00,type3,9
1991-12-14 00:00:00,type2,7
1989-02-04 00:00:00,type1,12
2005-06-11 00:00:00,type2,8
2019-05-04 00:00:00,type3,7
2011-09-10 00:00:00,type3,8
1998-07-11 00:00:00,type1,9
2018-05-26 00:00:00,type2,12
2005-10-15 00:00:00,type2,8
1999-06-19 00:00:00,type2,10
2016-05-28 00:00:00,type2,11
1994-02-05 00:00:00,type3,13
2006-12-16 00:00:00,type2,12
1985-06-15 00:00:00,type3,8
2019-12-28 00:00:00,type3,8
2019-07-27 00:00:00,type2,11
2001-01-27 00:00:00,type1,6
1986-02-15 00:00:00,type2,12
1984-03-03 00:00:00,type1,10
2008-04-19 00:00:00,type3,11
1999-01-02 00:00:00,type2,8
2002-04-06 00:00:00,type3,11
1987-05-30 00:00:00,type2,10
1995-04-22 00:00:00,type1,11
2009-10-10 00:00:00,type2,10
